	Price	Distance	Car	BuildingArea	YearBuilt
1031	2614000.0	9.2	2.0	150.0	1955.0
1032	1825000.0	9.2	3.0	225.0	1958.0
1038	3250000.0	9.2	2.0	520.0	2013.0
1041	1150000.0	9.2	1.0	144.0	2003.0
1048	1572000.0	9.2	2.0	330.0	1965.0
1054	1750000.0	9.2	2.0	365.0	2013.0
1055	1850000.0	9.2	2.0	254.0	1990.0
1059	2130000.0	9.2	2.0	275.0	1970.0
1061	3690000.0	9.2	2.0	154.0	1967.0
1065	1740000.0	9.2	2.0	275.0	1993.0
1067	2575000.0	9.2	2.0	355.0	2006.0
1068	1388800.0	9.2	1.0	247.0	1970.0
1070	1800000.0	9.2	4.0	165.0	1960.0
1072	2910000.0	9.2	2.0	247.0	1992.0
1078	2200000.0	9.2	2.0	355.0	1955.0
1085	1700000.0	9.2	3.0	168.0	1960.0
1088	1230000.0	9.2	1.0	188.0	2012.0
1090	2600000.0	9.2	3.0	529.0	2008.0
1091	1950000.0	9.2	2.0	232.0	1970.0
1093	1750000.0	9.2	2.0	170.0	1955.0
1095	2000000.0	9.2	2.0	244.0	1950.0
1096	1480000.0	9.2	4.0	116.0	1950.0
1099	1818000.0	9.2	1.0	90.0	1930.0
1104	2525000.0	9.2	2.0	196.0	1960.0
1106	3360000.0	9.2	1.0	420.0	2003.0
1110	1903000.0	9.2	2.0	720.0	1950.0
1114	1720000.0	9.2	2.0	170.0	1950.0
1120	1675000.0	9.2	2.0	201.0	1974.0
1121	1680000.0	9.2	1.0	200.0	2014.0
1127	4000000.0	9.2	4.0	518.0	2013.0
1131	2205000.0	9.2	2.0	250.0	1950.0
1135	2100000.0	9.2	3.0	175.0	1940.0
1137	685000.0	9.2	1.0	85.0	1975.0
1141	1335000.0	9.2	2.0	177.0	2009.0
1146	1900000.0	9.2	4.0	165.0	1960.0
1156	1040000.0	9.2	1.0	112.0	1995.0
1161	1250000.0	9.2	2.0	153.0	1950.0
1165	1875000.0	9.2	2.0	200.0	1961.0
1167	1530000.0	9.2	2.0	198.0	1960.0
1171	1700000.0	9.2	5.0	175.0	1960.0
1184	1651000.0	9.2	2.0	151.0	1960.0
1185	1920000.0	9.2	2.0	355.0	1955.0
1186	1560000.0	9.2	3.0	199.0	1980.0
1190	1038000.0	9.2	1.0	144.0	2003.0
1194	1660000.0	9.2	2.0	193.0	1950.0
1202	1770000.0	9.2	1.0	147.0	1955.0
1204	691500.0	9.2	1.0	102.0	1968.0
1211	875000.0	13.0	2.0	121.0	1950.0
1217	1425000.0	13.0	2.0	143.0	1960.0
1218	851000.0	13.0	1.0	250.0	1970.0
1219	1222500.0	13.0	2.0	181.0	2000.0
1230	1317500.0	13.0	1.0	127.0	1945.0
1231	360000.0	13.0	1.0	69.0	1965.0
1232	1435000.0	13.0	2.0	212.0	2012.0
1234	1110000.0	13.0	2.0	164.0	1940.0
1235	2435000.0	13.0	2.0	250.0	1928.0
1238	1500000.0	13.0	1.0	222.0	1940.0
1239	1300000.0	13.0	2.0	194.0	1940.0
1242	1125000.0	13.0	2.0	116.0	1948.0
1247	1328000.0	13.0	2.0	112.0	1940.0
1248	1340000.0	13.0	1.0	135.0	1910.0
1249	1155000.0	13.0	2.0	205.0	2010.0
1251	1275000.0	13.0	4.0	138.0	1960.0
1255	855000.0	13.0	1.0	103.0	1940.0
1258	650000.0	13.0	1.0	92.0	1960.0
1259	1815000.0	13.0	4.0	233.0	1950.0
1260	2255000.0	13.0	2.0	353.0	2008.0
1265	855000.0	13.0	3.0	475.0	2005.0
1270	1860000.0	13.0	3.0	197.0	1930.0
1271	725000.0	13.0	1.0	100.0	1990.0
1273	1293000.0	13.0	1.0	108.0	1950.0
1277	1328000.0	13.0	2.0	245.0	1970.0
1278	1247000.0	13.0	3.0	255.0	2008.0
1287	1370000.0	13.0	2.0	143.0	1950.0
1292	1095000.0	13.0	1.0	170.0	1965.0
1294	725000.0	13.0	1.0	88.0	2012.0
1296	825000.0	13.0	2.0	149.0	2007.0
1298	1235000.0	13.0	2.0	160.0	2012.0
1301	1165000.0	13.0	2.0	125.0	1950.0
1304	1910000.0	13.0	4.0	284.0	1950.0
1309	820000.0	13.0	3.0	109.0	1960.0
1314	1430000.0	13.0	2.0	168.0	1970.0
1315	910000.0	13.0	2.0	96.0	1970.0
1316	2520000.0	13.0	2.0	361.0	2012.0
1321	1900000.0	13.0	2.0	250.0	1926.0
1329	670000.0	13.0	1.0	90.0	2007.0
1333	680000.0	13.0	1.0	107.0	1998.0
1337	1320000.0	13.0	3.0	220.0	2010.0
1340	1900000.0	13.0	2.0	275.0	1988.0
1342	1535000.0	13.0	2.0	150.0	1930.0
1345	1281000.0	13.0	5.0	150.0	1940.0
1347	1385000.0	13.0	2.0	178.0	1950.0
1352	2620000.0	13.0	2.0	361.0	2012.0
1361	825000.0	13.9	1.0	125.0	2008.0
1362	746000.0	13.9	2.0	95.0	2002.0
1366	1275000.0	13.9	2.0	190.0	1960.0
1378	1025000.0	13.9	2.0	120.0	1999.0
1385	495000.0	13.9	1.0	79.0	1980.0
1387	1220000.0	13.9	2.0	178.0	1950.0
1389	885000.0	13.9	2.0	110.0	1950.0
1390	830000.0	13.9	2.0	141.0	2012.0
1395	1210000.0	13.9	2.0	222.0	2014.0
1397	1160000.0	13.9	2.0	180.0	2006.0
1398	1215000.0	13.9	3.0	110.0	1970.0
1399	1200000.0	13.9	2.0	191.0	1960.0
1400	1050000.0	13.9	2.0	140.0	1950.0
1401	950000.0	13.9	4.0	146.0	1950.0
1402	380000.0	13.9	1.0	78.0	1970.0
1406	1338000.0	13.9	2.0	177.0	1970.0
1410	651000.0	13.9	1.0	150.0	1960.0
1412	1390000.0	13.9	2.0	118.0	1960.0
1421	1100000.0	13.9	2.0	163.0	1955.0
1425	1206000.0	13.9	1.0	138.0	1940.0
1426	486500.0	13.9	1.0	75.0	1960.0
1433	1415000.0	13.9	2.0	177.0	1970.0
1434	1185000.0	13.9	2.0	207.0	2012.0
1435	1060000.0	13.9	1.0	166.0	1960.0
1449	845000.0	13.9	2.0	145.0	1998.0
1452	860000.0	13.9	1.0	117.0	1995.0
1455	921000.0	13.9	2.0	140.0	2009.0
1460	742500.0	13.9	1.0	135.0	1960.0
1461	920000.0	13.9	2.0	120.0	1950.0
1467	702000.0	13.9	1.0	102.0	1960.0
1470	805000.0	13.9	1.0	117.0	2000.0
1472	1100000.0	13.9	1.0	190.0	2004.0
1477	1050000.0	13.9	4.0	131.0	1950.0
1481	722000.0	13.9	1.0	79.0	2005.0
1482	930000.0	13.9	2.0	133.0	1960.0
1484	921000.0	13.9	1.0	119.0	2000.0
1485	1035000.0	13.9	2.0	160.0	1950.0
1489	1352000.0	13.9	2.0	196.0	1950.0
1490	1005000.0	13.9	2.0	205.0	2006.0
1492	1600000.0	13.9	2.0	315.0	1930.0
1494	1200000.0	13.9	1.0	120.0	1970.0
1497	780000.0	13.9	2.0	126.0	1950.0
1498	1250000.0	13.9	2.0	231.0	2010.0
1502	1110000.0	13.9	2.0	176.0	1960.0
1504	1690000.0	13.9	2.0	165.0	1950.0
1505	791000.0	13.9	1.0	122.0	1950.0
1506	900000.0	13.9	3.0	140.0	1940.0
1511	970000.0	13.9	2.0	156.0	2000.0
1517	823000.0	13.9	2.0	143.0	2003.0
1523	1045000.0	13.9	1.0	190.0	2010.0
1528	655000.0	13.9	1.0	80.0	2000.0
1529	1550000.0	13.9	2.0	257.0	1950.0
1530	835000.0	13.9	1.0	105.0	1980.0
1534	1465000.0	13.9	2.0	256.0	2015.0
1536	910000.0	13.9	1.0	96.0	1950.0
1537	920000.0	13.9	1.0	123.0	2007.0
1538	935000.0	13.9	2.0	160.0	2012.0
1539	977000.0	13.9	2.0	163.0	1970.0
1540	1352000.0	13.9	2.0	122.0	1950.0
1541	1115000.0	13.9	2.0	160.0	1960.0
1545	1197000.0	13.9	2.0	147.0	1949.0
1546	485000.0	13.9	2.0	83.0	2011.0
1548	1365000.0	13.9	1.0	151.0	1960.0
1550	1698888.0	13.9	2.0	337.0	2006.0
1559	965000.0	13.9	1.0	28.0	2010.0
1560	870000.0	13.9	2.0	150.0	2011.0
1563	1161000.0	13.9	3.0	168.0	1950.0
1565	1266000.0	13.9	3.0	146.0	1970.0
1566	700000.0	13.9	2.0	200.0	2008.0
1568	1325000.0	13.9	2.0	265.0	2012.0
1569	770000.0	13.9	1.0	132.0	2005.0
1571	380000.0	13.9	1.0	99.0	1970.0
1572	1175000.0	13.9	2.0	158.0	1980.0
1573	1200000.0	13.9	1.0	120.0	1960.0
1575	1370000.0	13.9	2.0	196.0	1970.0
1576	1433500.0	13.9	1.0	186.0	1950.0
1581	860000.0	13.9	1.0	131.0	2005.0
1585	715000.0	13.9	1.0	114.0	1995.0
1592	710000.0	13.9	1.0	115.0	1950.0
1594	1550000.0	13.9	2.0	296.0	2007.0
1596	790000.0	13.9	2.0	100.0	1996.0
1598	1020000.0	13.9	2.0	144.0	1960.0
1609	886000.0	13.9	1.0	122.0	2012.0
1613	1015000.0	13.9	3.0	198.0	1997.0
1617	1255000.0	13.9	2.0	167.0	1950.0
1619	1320000.0	13.9	1.0	94.0	1950.0
1620	870000.0	13.9	1.0	133.0	1950.0
1622	1472500.0	13.9	2.0	219.0	2013.0
1623	640000.0	13.9	2.0	118.0	2005.0
1628	1620000.0	13.1	2.0	255.0	1940.0
1630	645000.0	13.1	1.0	81.0	1965.0
1638	1560000.0	13.1	3.0	167.0	1905.0
1641	1715000.0	13.1	2.0	170.0	1950.0
1642	1200000.0	13.1	2.0	110.0	1950.0
1643	1760000.0	13.1	0.0	151.0	1910.0
1645	948000.0	13.1	2.0	108.0	1950.0
1648	465000.0	13.1	1.0	65.0	2010.0
1649	975000.0	13.1	2.0	158.0	2008.0
1650	1325000.0	13.1	1.0	134.0	1950.0
1651	750000.0	13.1	1.0	3.0	2000.0
1652	1400000.0	13.1	1.0	159.0	1940.0
1653	1500000.0	13.1	2.0	106.0	1930.0
1654	1600000.0	13.1	1.0	195.0	1890.0
1657	1461400.0	13.1	2.0	235.0	1927.0
1658	775000.0	13.1	1.0	108.0	1980.0
1660	1670000.0	13.1	4.0	162.0	1926.0
1664	4000000.0	13.1	2.0	120.0	1945.0
1665	928000.0	13.1	1.0	106.0	1890.0
1667	636000.0	13.1	1.0	82.0	1970.0
1672	1170000.0	13.1	1.0	95.0	1920.0
1673	1670000.0	13.1	2.0	231.0	1924.0
1681	857000.0	13.1	1.0	119.0	1930.0
1682	822500.0	13.1	1.0	130.0	2000.0
1689	645000.0	10.8	1.0	75.0	1950.0
1690	502000.0	10.8	1.0	106.0	2011.0
1691	495000.0	10.8	1.0	124.0	2006.0
1693	868000.0	10.8	4.0	77.0	1950.0
1694	645000.0	10.8	1.0	154.0	1990.0
1695	652000.0	10.8	1.0	145.0	2010.0
1697	850000.0	10.8	2.0	240.0	2002.0
1702	575000.0	10.8	3.0	98.0	1955.0
1703	882000.0	10.8	2.0	216.0	2008.0
1704	730000.0	10.8	2.0	135.0	1970.0
1714	610000.0	10.8	1.0	154.0	1990.0
1716	696000.0	10.8	0.0	90.0	1960.0
